何事[なにごと;h]も
切り出[きりだ,きりだす;k3,h]す
親指[おやゆび;h]
そなえる[,そなえる;k3]
磯[いそ;h]
資金[しきん;n2,a]
うた[;o]
面会[めんかい;h]
分[わ,わかれる;k3]かれる
案[あん,あんじる;k3,h]じる
降[お,おろす;k2]ろす
一向[いっこう;h]に
十字架[じゅうじか;h]
規模[きぼ;a]
発作[ほっさ;h]
滝川[たきがわ;h]
たくす[,たくす;k2]
手元[てもと;o]
霞[かすみ;h]
パンツ[;a,h]
丁度[ちょうど;h]
分厚[ぶあつ,ぶあつい;h,k3]い
封[ふう,ふうじる;h,k3]じる
往復[おうふく;h]
棄[す,すてる;h]てる
納[おさ,おさめる;k3]める
スープ[;a]
入学[にゅうがく;h]
企画[きかく;h]
木下[きのした;h]
セリフ[;a]
反[そら,はんす;k2]す
くずれる[,くずれる;k3]
押[お,おして;h]して
にこにこ[;a]
誌[しるし;h]
惜[お,おしむ;k2]しむ
明白[めいはく;h]
いくら[;h,a]でも
ウイスキー[;n3,n2]
寸[すん;a]
株[かぶ;h]
キッチン[;a]
短剣[たんけん;h]
ふりむく[,ふりむく;k3]
敗北[はいぼく;h]
行方不明[ゆくえふめい;n4]
出向[でむ,でむく;k2,h]く
値[あたい;h]
ブリッジ[;n2]
照[て,てれる;k2]れる
痕跡[こんせき;h]
ない[,ない;k1]し
信玄[しんげん;a]
うろつく[,うろつく;h]
手間[てま;o]
鎌倉[かまくら;h]
仕[つかまつ,つかまつる;k4]る
地震[じしん;h]
お姉[おねえ;n2]さん
太字[ふとじ;h]
生き方[いきかた;o,n3]
直感[ちょっかん;h]
アン[;a]ナ
駆け出[かけだ,かけだす;k3,h]す
うわさ[;h]
塞[ふさ,ふさぐ;h]ぐ
もっぱら[;a,h]
切[き;o]り
営業[えいぎょう;h]
当[とう;a]の
ろくに[;h]
恵子[けいこ;a]
挑戦[ちょうせん;h]
ピン[;a]
合戦[かっせん;h]
おびただしい[,おびただしい;k5]
醒[さ,さめる;k2]める
ポンド[;a]
唐[とう;a]
器用[きよう;a]
違和感[いわかん;n2]
ぜん[;h]ぶ
岡田[おかだ;h]
しみじみ[;n3]
撒[ま,まく;k1]く
草原[そうげん;h]
雀[すずめ;h]
快感[かいかん;h]
コード[;a]
土間[どま;o]
平次[へいじ;a]
立[た,たちすくむ;h,k4]ちすくむ
艇[てい;a]
高価[こうか;a]
子孫[しそん;a]
指揮官[しきかん;n2]
グリーン[;n2]
刃物[はもの;a]
ひざまずく[,ひざまずく;k4]
ほほ[;a,h]
種族[しゅぞく;a]
替[か,かえる;h]える
有難[ありがた,ありがたい;k4]い
平静[へいせい;h]
とんだ[;h]
一瞥[いちべつ;h]
新田[しんでん;h]
かまえる[,かまえる;k3]
すくなくとも[;n3,n2]
悠二[ゆうじ]
問[とい;h]
溝[みぞ;h]
あいにく[;h]
悪戯[いたずら;h]
輪郭[りんかく;h]
風間[かぜま;h]
がら[;a]
逃亡[とうぼう;h]
とがめる[,とがめる;k3]
トラブル[;n2]
もとめる[,とめる;h]
保存[ほぞん;h]
ささやか[;n2]
憎[にく,にくい;k2]い
ショー[;a]
さ[,する;h]し
とり[;h]
ふえる[,ふえる;k2]
太田[おおた;h]
阿[おもね,おもねる;k3]る
ジャケット[;a,n2]
司令部[しれいぶ;n2]
お許[おゆる]し
構[かま;n2,o]え
客間[きゃくま;h]
谷間[たにま;h,o]
まる[;h]
著[ちょ;o]
地帯[ちたい;a,n2,h]
挑[いど,いどむ;k2]む
づら[,づらい;h]い
有馬[ありま;h]
火花[ひばな;a]
メス[;a]
重[おも;h]み
人口[じんこう;h]
喜[よろこび;h,o,n3]
芯[しん;a]
まるい[,まるい;h,k2]
来年[らいねん;h]
涼[すず,すずしい;k3]しい
庭園[ていえん;h]
指差[ゆびさ;o,n3]し
